date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:56	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%226406e3f1-154%22	https://www.classcentral.com/robots.txt		(from )
12:00:56	665408/665408	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2011:00:56%20GMT	https://www.classcentral.com/	/home/chigozirim/websites/ClassCentral/www.classcentral.com/index.html	(from )
12:00:58	9463/9463	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Mar%202023%2013:29:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	/home/chigozirim/websites/ClassCentral/ccweb.imgix.net/images/meta-default6dba.png	(from https://www.classcentral.com/)
12:00:58	2206/2206	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/apple-touch-icon.png	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/apple-touch-icon.png	(from https://www.classcentral.com/)
12:00:59	975/975	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/favicon-32x32.png	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/favicon-32x32.png	(from https://www.classcentral.com/)
12:01:00	731/731	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/favicon-16x16.png	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/favicon-16x16.png	(from https://www.classcentral.com/)
12:01:02	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%226406e2dc-2a1%22	https://www.classcentral.com/site.webmanifest	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/site.webmanifest	(from https://www.classcentral.com/)
12:01:02	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226406e3f1-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/safari-pinned-tab.svg	(from https://www.classcentral.com/)
12:01:04	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%226406e2dc-391%22	https://www.classcentral.com/opensearch.xml	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/opensearch.xml	(from https://www.classcentral.com/)
12:01:04	892/892	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:01:05	892/892	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
12:01:06	988/988	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
12:01:07	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
12:01:09	10164/10164	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
12:01:10	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
12:01:10	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:01:12	7748/7748	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
12:01:12	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
12:01:13	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
12:01:14	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
12:01:16	12352/12352	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
12:01:16	13324/13324	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
12:01:17	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:01:18	7584/7584	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
12:01:19	6320/6320	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
12:01:20	6644/6644	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
12:01:21	4568/4568	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
12:01:22	12160/12160	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
12:01:23	13108/13108	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	/home/chigozirim/websites/ClassCentral/www.classcentral.com/images/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
